night,speaker,text,neg,neu,pos,compound
first,KLOBUCHAR,And by the way I just don't buy this. I've heard some of these candidates say that it's somehow not moral if you  not moral to not have that public option. Well Senator Sanders was actually on a public option bill last year and that was Bernie the Medicaid public option bill that Senator Schatz introduced.,0,0.962,0.038,0.2732
first,KLOBUCHAR,Clearly this is the easiest way to move forward quickly and I want to get things done. People can't wait. I've got my friend Nicole out there whose son was actually died trying to ration his insulin as a restaurant manager. And he died because he didn't have enough money to pay for it.,0.135,0.708,0.157,0.1027
first,TAPPER,Senator,0,1,0,0
first,SANDERS,Jake.,0,1,0,0
first,KLOBUCHAR,And Bernie and I have worked on pharmaceutical issues together.,0,1,0,0
first,TAPPER,Thank you Senator. ,0,0.444,0.556,0.3612
first,KLOBUCHAR,We can get less expensive drugs.,0,1,0,0
first,TAPPER,Senator Sanders  I'm going to go to Senator Sanders then Senator Warren because you both were mentioned. Senator Sanders?,0,1,0,0
first,SANDERS,As the author  as the author of the Medicare bill let me clear up one thing. As people talk about having insurance there are millions of people who have insurance they can't go to the doctor and when they come out of the hospital they go bankrupt. All right? ,0.068,0.883,0.049,-0.25
first,SANDERS,What I am talking about and others up here are talking about is no deductibles and no co-payments. And Jake your question is a Republican talking point. At the end of the day,0.132,0.868,0,-0.5267
first,SANDERS,And by the way  and by the way  by the way  the health care industry will be advertising tonight on this program.,0,0.868,0.132,0.4939
first,TAPPER,Thank you Senator. Senator Warren it's your turn. ,0,0.737,0.263,0.3612
first,SANDERS,Oh can I complete that please?,0,0.635,0.365,0.3182
first,TAPPER,Your time is up. Thirty seconds.,0,1,0,0
first,SANDERS,They will be advertising tonight with that talking point. ,0,1,0,0
first,TAPPER,Senator Warren?,0,1,0,0
first,WARREN,So we have to think of this in terms of the big frame. What's the problem in Washington? It works great for the wealthy. It works great for those who can hire armies of lobbyists and lawyers. And it keeps working great for the insurance companies and the drug companies. ,0.043,0.72,0.237,0.9201
first,WARREN,What it's going to take is real courage to fight back against them. These insurance companies do not have a God-given right to make $23 billion in profits and suck it out of our health care system.,0.12,0.677,0.203,0.5859
first,TAPPER,Thank you Senator. ,0,0.444,0.556,0.3612
first,WARREN,They do not have a God-given right,0,1,0,0
first,TAPPER,Thank you Senator. ,0,0.444,0.556,0.3612
first,KLOBUCHAR,On page eight of the bill it says,0,1,0,0
first,WARREN, to put,0,1,0,0
first,TAPPER,I want to let Congressman Delaney in.,0,0.794,0.206,0.0772
first,TAPPER,Thank you Senator. If we could all just stick to the rules of the time that would be great. Congressman Delaney?,0,0.742,0.258,0.765
first,DELANEY,So I was  I'm the only one on this stage who actually has experience in the health care business. And with all due respect I don't think my colleagues understand the business. We have the public option which is great.,0,0.771,0.229,0.886
first,SANDERS,It's not a business!,0,1,0,0
first,DELANEY,The public option is great but it doesn't go far enough. It doesn't go far enough. I'm proposing universal health care where everyone gets health care as a basic human right for free but they have choices. My plan BetterCare is fully paid for without raising middle class tax options. So when we think about this debate,0,0.769,0.231,0.9485
first,TAPPER,Thank you Congressman. ,0,0.444,0.556,0.3612
first,DELANEY,There's Medicare for All which is extreme,0,1,0,0
first,TAPPER,Thank you Congressman.,0,0.444,0.556,0.3612
first,DELANEY,I was interrupted. ,0.688,0.312,0,-0.296
first,TAPPER,I want to bring in  I want to bring in Governor Hickenlooper. Governor Hickenlooper I'd like to hear what you say about Senator Warren's suggestion that those people on the stage who are not in favor of Medicare for All lack the political will to fight for it. ,0.137,0.765,0.098,-0.4692
first,HICKENLOOPER,Well obviously I disagree with that as much as I respect both of the senators to my right. You know it comes down to that question of Americans being used to being able to make choices to have the right to make a decision. And I think proposing a public option that allows some form of Medicare that maybe is a combination of Medicare Advantage and Medicare but people choose it and if enough people choose it it expands the quality improves the cost comes down more people choose it eventually in 15 years you could get there but it would be an evolution not a revolution. ,0.017,0.885,0.098,0.765
first,TAPPER,Thank you Governor. Senator Warren? ,0,0.615,0.385,0.3612
first,WARREN,You know,0,1,0,0
first,WARREN, we have tried this experiment with the insurance companies. And what they've done is they've sucked billions of dollars out of our health care system. And they force people to have to fight to try to get the health care coverage that their doctors and nurses say that they need. ,0.097,0.793,0.11,0.2023
first,WARREN,Why does everybody  why does every doctor why does every hospital have to fill out so many complicated forms? It's because it gives insurance companies a chance to say no and to push that cost back on the patients.,0.055,0.896,0.05,-0.0516
first,TAPPER,Thank you Senator Warren. ,0,0.545,0.455,0.3612
first,WARREN,That's what we have to fight.,0.342,0.658,0,-0.3818
first,TAPPER,I want to bring in Marianne Williamson. Ms. Williamson how do you respond to the criticism from Senator Warren that you're not willing to fight for Medicare for All?,0.092,0.797,0.111,-0.1068
first,WILLIAMSON,I don't know if Senator Warren said that about me specifically. I admire very much what Senator Warren has said and what Bernie has said.,0,0.876,0.124,0.4767
first,WILLIAMSON,But I have to say I have  I'm normally way over there with Bernie and Elizabeth on this one. I hear the others. And I have some concern about that as well. And I do have concern about what the Republicans would say. And that's not just a Republican talking point. I do have concern that it will be difficult. I have concern that it will make it harder to win and I have a concern that it'll make it harder to govern. Because if that's our big fight then,0.059,0.874,0.068,0.2023
first,TAPPER,Thank you Ms. Williamson. ,0,0.545,0.455,0.3612
first,WILLIAMSON,The Republicans will so shut us down on everything else. ,0,1,0,0
first,TAPPER,I want to bring in Mayor Buttigieg  Mayor Buttigieg your response? ,0,0.874,0.126,0.0772
first,BUTTIGIEG,It is time to stop worrying about what the Republicans will say. Look if  ,0.277,0.723,0,-0.5574
first,BUTTIGIEG,If it's true that if we embrace a far-left agenda they're going to say we're a bunch of crazy socialists. If we embrace a conservative agenda you know what they're going to do? They're going to say we're a bunch of crazy socialists.,0.104,0.736,0.16,0.3818
first,BUTTIGIEG,So let's just stand up for the right policy go out there and defend it. That's the policy I'm putting forward not because I think it's the right triangulation between Republicans here and Democrats there  because I think it's the right answer for people like my mother-in-law who is here  whose life was saved by the ACA but who is still far too vulnerable to the fact that the insurance industry does not care about her,0.073,0.881,0.046,-0.484
first,TAPPER,Thank you Mayor Buttigieg Senator Sanders your response? ,0,0.737,0.263,0.3612
first,SANDERS,Let's be clear what this debate is about. Nobody can defend the dysfunctionality of the current system. What we are taking on is the fact that over the last 20 years the drug companies and the insurance companies have spent $4.5 billion of your health insurance money on lobbying and campaign contributions. ,0.024,0.928,0.048,0.3182
