"speaker","text","neg","neu","pos","compound","start_time","end_time","length"
"HARRIS","My plan is about immediately allowing people to sign up and get into coverage.  Right now in America we have seniors who every day  millions of seniors are going into the Medicare system and they are getting full coverage and the kind of coverage they need.  All people should have access to health care.  And costs should not be their barrier.","0.0","0.928","0.072","0.5529",1520.08,1538.1499999999999,18.069999999999936
"BASH"," Thank you Senator Harris.  ","0.0","0.545","0.455","0.3612",1538.639999,1539.269999,0.6300000000001091
"BASH","Mayor de Blasio let's bring you in here.  What's your response?","0.0","1.0","0.0","0.0",1539.48,1541.74,2.259999999999991
"DE BLASIO"," Thank you.  I don't know what the vice president and the senator are talking about.  The folks I talk to about health insurance say that their health insurance isn't working for them.  ","0.0","0.921","0.079","0.3612",1542.139999,1549.14,7.000001000000111
"DE BLASIO","There's tens of millions of Americans who don't even have health insurance tens of millions more who have health insurance they can barely make work because of the co-pays the deductibles the premiums the out-of-pocket expenses.","0.0","1.0","0.0","0.0",1549.39,1561.4799990000001,12.089999000000034
"DE BLASIO","There's this mythology that somehow all of these folks are in love with their insurance in America.  What I hear from union members and from hard-working middle-class people is they wish they had better insurance and they're angry at private insurance companies that skim all the profits off the top and make it impossible for everyday people to get coverage like mental care","0.043","0.697","0.261","0.9423",1561.73,1580.48,18.75
"BASH"," Thank you Mr. Mayor.","0.0","0.545","0.455","0.3612",1580.49,1581.4,0.9100000000000819
"DE BLASIO","  dental care the things that would be full coverage for all Americans.","0.0","0.775","0.225","0.4939",1581.429999,1583.01,1.5800010000000384
"BASH"," Thank you Mr. Mayor.  ","0.0","0.545","0.455","0.3612",999999999,0,-999999999
"BASH","Vice President Biden you just heard Mayor de Blasio.  He said in the past that Democrats who wanted to keep the private insurance industry are defending a health care system that is not working.  What's your response?","0.0","0.916","0.084","0.4939",1584.41,1595.79,11.379999999999882
